"LocationAbbr","LocationDesc","Year","Datasource","TopicDesc","MeasureDesc","SubMeasureDesc","Data_Value","Data_Value_Unit","Data_Value_Type","GeoLocation","Source","TopicTypeId","TopicId","MeasureId","SubMeasureID","SubMeasureIdDisplayOrder"
"OH","Ohio","2006","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","4,19","$","Dollars","    (40.060210141, -82.404260056)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"OK","Oklahoma","2006","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","4,038","$","Dollars","    (35.472031356, -97.521070214)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"OR","Oregon","2006","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","4,21","$","Dollars","    (44.567449424, -120.155031326)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"PA","Pennsylvania","2006","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","4,301","$","Dollars","    (40.793730152, -77.860700294)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"RI","Rhode Island","2006","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","5,712","$","Dollars","    (41.708280193, -71.522470314)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"SC","South Carolina","2006","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,094","$","Dollars","    (33.998821303, -81.045371207)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"SD","South Dakota","2006","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,499","$","Dollars","    (44.353130053, -100.373530637)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"TN","Tennessee","2006","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,235","$","Dollars","    (35.68094058, -85.774490914)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"TX","Texas","2006","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,33","$","Dollars","    (31.827240407, -99.426770206)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"UT","Utah","2006","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,722","$","Dollars","    (39.360700171, -111.587130635)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"VT","Vermont","2006","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","4,851","$","Dollars","    (43.625381239, -72.517640791)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"VA","Virginia","2006","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,504","$","Dollars","    (37.542680674, -78.457890463)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"WA","Washington","2006","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","5,404","$","Dollars","    (47.522278629, -120.47001079)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"WV","West Virginia","2006","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,478","$","Dollars","    (38.665510202, -80.712640135)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"WI","Wisconsin","2006","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,868","$","Dollars","    (44.393191174, -89.816370742)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"WY","Wyoming","2006","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,724","$","Dollars","    (43.235541343, -108.109830353)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"AL","Alabama","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,56","$","Dollars","    (32.840571122, -86.631860762)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"AK","Alaska","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","5,61","$","Dollars","    (64.845079957001, -147.722059036)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"AZ","Arizona","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","4,156","$","Dollars","    (34.86597028, -111.763811277)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"AR","Arkansas","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,53","$","Dollars","    (34.748650124, -92.274490743)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"CA","California","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,953","$","Dollars","    (37.638640123, -120.999999538)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"CO","Colorado","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","4,036","$","Dollars","    (38.843840757, -106.133610921)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"CT","Connecticut","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","4,733","$","Dollars","    (41.56266102, -72.649840952)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"DE","Delaware","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,484","$","Dollars","    (39.008830667, -75.577741168)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"DC","District of Columbia","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","4,256","$","Dollars","    (38.890371385, -77.031961127)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"FL","Florida","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,433","$","Dollars","    (28.932040377, -81.928960539)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"GA","Georgia","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,483","$","Dollars","    (32.839681093, -83.627580346)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"HI","Hawaii","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","4,981","$","Dollars","    (21.304850435, -157.857749403)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"ID","Idaho","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,61","$","Dollars","    (43.682630005, -114.363730042)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"IL","Illinois","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","4,607","$","Dollars","    (40.485010283, -88.997710178)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"IN","Indiana","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,509","$","Dollars","    (39.766910452, -86.149960194)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"IA","Iowa","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,362","$","Dollars","    (42.469400913, -93.816490556)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"KS","Kansas","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,73","$","Dollars","    (38.3477403, -98.200781227)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"KY","Kentucky","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,306","$","Dollars","    (37.645970271, -84.774971048)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"LA","Louisiana","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,407","$","Dollars","    (31.312660644, -92.445680071)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"ME","Maine","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","5,213","$","Dollars","    (45.254228894001, -68.985031336)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"MD","Maryland","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,981","$","Dollars","    (39.290580964, -76.609260111)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"MA","Massachusetts","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","5,053","$","Dollars","    (42.27687047, -72.082690675)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"MI","Michigan","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","5,1","$","Dollars","    (44.661319543001, -84.71439027)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"MN","Minnesota","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","4,467","$","Dollars","    (46.355648736, -94.794200503)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"MS","Mississippi","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,179","$","Dollars","    (32.745510099, -89.538030825)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"MO","Missouri","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,186","$","Dollars","    (38.635790776, -92.566300053)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"MT","Montana","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","4,814","$","Dollars","    (47.066528972, -109.424420645)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"NE","Nebraska","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,648","$","Dollars","    (41.641040988001, -99.365720623)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"NV","Nevada","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,752","$","Dollars","    (39.49324039, -117.071840564)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"NH","New Hampshire","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,725","$","Dollars","    (43.655950113, -71.50036092)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"NJ","New Jersey","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","5,615","$","Dollars","    (40.130570048, -74.273691288)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"NM","New Mexico","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,81","$","Dollars","    (34.520880952, -106.240580985)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"NY","New York","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","5,457","$","Dollars","    (42.827001032, -75.543970427)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"NC","North Carolina","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,29","$","Dollars","    (35.466220975, -79.159250463)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"ND","North Dakota","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,35","$","Dollars","    (47.475319779, -100.118421049)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"OH","Ohio","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","4,097","$","Dollars","    (40.060210141, -82.404260056)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"OK","Oklahoma","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","4,004","$","Dollars","    (35.472031356, -97.521070214)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"OR","Oregon","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","4,228","$","Dollars","    (44.567449424, -120.155031326)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"PA","Pennsylvania","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","4,332","$","Dollars","    (40.793730152, -77.860700294)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"RI","Rhode Island","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","5,637","$","Dollars","    (41.708280193, -71.522470314)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"SC","South Carolina","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,147","$","Dollars","    (33.998821303, -81.045371207)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"SD","South Dakota","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,539","$","Dollars","    (44.353130053, -100.373530637)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"TN","Tennessee","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,257","$","Dollars","    (35.68094058, -85.774490914)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"TX","Texas","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,375","$","Dollars","    (31.827240407, -99.426770206)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"UT","Utah","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,772","$","Dollars","    (39.360700171, -111.587130635)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"VT","Vermont","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","4,478","$","Dollars","    (43.625381239, -72.517640791)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"VA","Virginia","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,529","$","Dollars","    (37.542680674, -78.457890463)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"WA","Washington","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","5,284","$","Dollars","    (47.522278629, -120.47001079)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"WV","West Virginia","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,394","$","Dollars","    (38.665510202, -80.712640135)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"WI","Wisconsin","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,783","$","Dollars","    (44.393191174, -89.816370742)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"WY","Wyoming","2005","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","3,65","$","Dollars","    (43.235541343, -108.109830353)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
